,source,claim,verdict,qoute,date,scrape_date
0,Jill Vogel,"In Virginia, ""people are going and getting marriage licenses who are 12 and 13, and 14 and 15 years old.""",mostly-true,No 12-year-olds,2016-02-08,2019-04-23 16:47:01.030137
0,Ed Gillespie,"""More businesses are closing than opening in Virginia today.""",false,Old data,2016-02-01,2019-04-23 16:47:01.031733
0,Thomas Garrett Jr.,"""A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.""",false,"Off by about $6,055",2016-02-01,2019-04-23 16:47:01.033322
0,Virginia Center for Public Safety,"""Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.""",true,On target,2016-01-26,2019-04-23 16:47:01.034907
0,Philip Van Cleave,"Martin Luther King Jr. ""was a Republican.""",false,King eschewed party labels,2016-01-25,2019-04-23 16:47:01.036495
0,Tarina Keene,"More than 100,000 women in Texas ""have attempted to self-induce abortion in the past year alone.""",false,Misstates research,2016-01-19,2019-04-23 16:47:01.038081
0,Occupy Democrats,"Says Virginia Del. Mark Cole ""wants schools to check children’s genitals before using bathroom.""",false,Doesn't wash,2016-01-18,2019-04-23 16:47:01.039669
0,Steven Landes,"Medicaid expansion ""could cost the Commonwealth of Virginia over $1 billion a year...""",false,Partisan math,2016-01-11,2019-04-23 16:47:01.041252
0,Terry McAuliffe,"""We are taking Virginia’s investment in public education to the highest level in the commonwealth’s history.""",barely-true,Not if you factor inflation,2016-01-11,2019-04-23 16:47:01.042846
0,Ted Cruz,"""Existing law right now requires 700 miles of double-layered border fencing"" on the Mexico border.",false,"""Existing law"" was changed in 2008",2015-12-29,2019-04-23 16:47:01.044435
0,Ted Cruz,"Forty percent of illegal immigrants are ""people coming legally on visas and overstaying their visas.""",mostly-true,A broad estimate,2015-12-28,2019-04-23 16:47:01.046016
0,Rob Wittman,"""Only nine"" coalition nations with the U.S. ""are truly actively involved"" in fighting the Islamic State.",mostly-true,The exact number varies,2015-12-22,2019-04-23 16:47:01.047767
0,Terry McAuliffe,"Says he faced ""a record budget deficit"" in Virginia in 2014.",false,"""Slip of the tongue"" ",2015-12-21,2019-04-23 16:47:01.049459
0,Donald Trump,"In 2000, ""I wrote about Osama bin Laden, ‘We’ve got to take him out.’""",barely-true,Not strictly by the book,2015-12-11,2019-04-23 16:47:01.051148
0,Terry McAuliffe,"""Since 2008, we have cut 5,000 positions"" from Virginia public schools.",true,Remains of recession,2015-12-08,2019-04-23 16:47:01.052774
0,Bob Goodlatte,"""There is a federal criminal law that says it's a crime to transport dentures across state lines.""",mostly-true,Something to chew on,2015-12-07,2019-04-23 16:47:01.054382
0,Ted Cruz,"Says President Barack Obama ""will not utter the words ‘radical Islamic terrorism’ and as matter of policy, nobody in the administration will say the words ‘radical Islamic terrorism.’""",true,Obama avoids broadbrushing Muslims,2015-11-30,2019-04-23 16:47:01.211147
0,Ben Carson,"Says Thomas Jefferson helped ""craft"" the Constitution.",false,An unhistorical claim,2015-11-27,2019-04-23 16:47:01.212953
0,Bernie Sanders,"""It costs a hell of a lot more money to put somebody in jail than send them to the University of Virginia.""",half-true,Depends on length of sentence,2015-11-23,2019-04-23 16:47:01.214634
0,Terry McAuliffe,"""When I became governor, I inherited a large deficit. You know what? We just turned that into the largest surplus in Virginia history.""",barely-true,An embellished story,2015-11-16,2019-04-23 16:47:01.216254
0,Donald Trump,"On the VA: ""Over 300,000 veterans have died waiting for care.""",barely-true,Messy interpretation of a messy situation,2015-11-09,2019-04-23 16:47:01.218061
0,Bernie Sanders,"The Koch Brothers are ""spending more money than either the Democratic or Republican parties"" in the 2016 elections.",false, Doesn't add up ,2015-11-06,2019-04-23 16:47:01.219684
0,Terry McAuliffe,"""It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.""",barely-true,Misinterprets 21-year-old study ,2015-11-02,2019-04-23 16:47:01.221293
0,Donald Trump,"""Sixty-one percent of our bridges are in trouble.""",false,Not even close,2015-10-26,2019-04-23 16:47:01.222898
0,"Thomas Norment, Jr.","Says ""only about 2 percent"" of gun sales in Virginia are not subject to background checks.",false,No such data,2015-10-26,2019-04-23 16:47:01.224498
0,Donald Trump,"Says Bernie Sanders is going to ""tax you people at 90 percent.""",pants-fire,"Sanders mostly targets the richest, not 'you people'",2015-10-20,2019-04-23 16:47:01.226051
0,Donald Trump,"""We have the highest tax rate anywhere in the world.""",false,Said during reference to middle class,2015-10-20,2019-04-23 16:47:01.227851
0,Mike Huckabee,"The Washington D.C.-area ""never has a recession.""",false,"Bad times come, but don't stay long",2015-10-19,2019-04-23 16:47:01.229439
0,Glen Sturtevant,"Dan Gecker voted to ""double vehicle registration fees, costing (Chesterfield) county residents over $6 million annually.""",false,Just the opposite,2015-10-12,2019-04-23 16:47:01.231035
0,Richard Saslaw,"Virginia’s current unemployment rate is ""the lowest in Virginia history.""",false,Not even close,2015-10-12,2019-04-23 16:47:01.232628
0,Dan Gecker,"Glen Sturtevant is ""against smaller class sizes.""",false,Trumped up charge,2015-10-05,2019-04-23 16:47:01.234228
0,Gerry Connolly,"""It's estimated we leave somewhere north of $350 billion a year - that's billion - a year on the table uncollected because IRS doesn't have the resources.""",half-true,"Right number, wrong reason",2015-10-05,2019-04-23 16:47:01.235839
0,Mike Huckabee,"""Six of the 10 richest counties in the United States surround Washington, D.C.""",true,Measured by median household income,2015-09-29,2019-04-23 16:47:01.237436
0,Jim Gilmore,"On the main GOP presidential debate: ""Not one candidate on the debate stage has military experience … """,true,Direct hit,2015-09-28,2019-04-23 16:47:01.239033
0,Mary Mannix,"""Just about half of rural hospitals operate in the red in Virginia. They operate at a loss.""",true,Proper diagnosis,2015-09-22,2019-04-23 16:47:01.240625
0,Bernie Sanders,"""The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent.""",mostly-true,Might be on high side ,2015-09-21,2019-04-23 16:47:01.242224
0,Barry DuVal,"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",mostly-true,Some U.S. crude oil goes to Canada,2015-09-17,2019-04-23 16:47:01.438468
0,Victoria Cobb,"""Inspections of abortion centers around Virginia have found multiple violations of parental consent laws … but Gov. Terry McAuliffe and his administration have done nothing.""",barely-true,Regulations enforced,2015-09-14,2019-04-23 16:47:01.440337
0,Donald Trump,"Under the Iran deal: ""If Israel attacks Iran … we’re supposed to be on Iran’s side.""",false,That's not the case,2015-09-04,2019-04-23 16:47:01.442166
0,Dan Gecker,"""Of the 25 wealthiest nations, we're the only one that doesn't provide basic health coverage.""",true,He was referring to universal health care,2015-09-01,2019-04-23 16:47:01.443797
0,Dave Brat,"""I was one of the few, very few, who voted `no’ on the Iran deal.""",false,The deal hasn't come up for a vote yet,2015-08-31,2019-04-23 16:47:01.445404
0,Glen Sturtevant,"""Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.""",true,Zeroed in,2015-08-25,2019-04-23 16:47:01.447024
0,Jim Webb,"""We did not even have a federal income tax in this country until 1913.""",half-true,Give Lincoln his due,2015-08-24,2019-04-23 16:47:01.448620
0,Israel O'Quinn,"On unemployment rates: ""We have counties in Southwest Virginia that are well into double digits and some that are pushing 20 percent.""",false,Overstates coal region's woes,2015-08-17,2019-04-23 16:47:01.450296
0,Dick Black,"Says Jill McCabe ""supports late term abortions. Larger baby parts are more profitable.""",pants-fire,No proof,2015-08-10,2019-04-23 16:47:01.451906
0,Jim Webb,"""The United States has the highest incarceration rate in the world.""",mostly-true,Very close to the top ,2015-08-10,2019-04-23 16:47:01.453519
0,Mark Obenshain,"Since parole abolition, Virginia's ""crime rate has fallen to third lowest in the country, our recidivism rate is down 20 percent and that’s the second lowest in the country.""",mostly-true,Some context missing,2015-08-03,2019-04-23 16:47:01.455211
0,Gerry Connolly,"""In 1960, we spent more than 3 percent of our GDP on infrastructure projects like the Interstate Highway. Today we spend less than 1 percent of our GDP on these vital investments.""",half-true,Drop is not quite that steep,2015-08-03,2019-04-23 16:47:01.456925
0,Terry McAuliffe,"""All (Maryland) crabs are born in Virginia.""",mostly-true,Claim has legs,2015-07-27,2019-04-23 16:47:01.458510
0,Bob Goodlatte,"""The actual deportations from the interior of the country are way down"" under President Obama.",true,Focus shifts to border,2015-07-20,2019-04-23 16:47:01.460240
0,E.W. Jackson,"Says President Obama ""is reducing our naval fleet to 1917 levels...""",barely-true,Anchors astray,2015-07-13,2019-04-23 16:47:01.461843
0,Bobby Scott,"""The United States ranks second worst in income inequality across developed countries,"" after taxes and transfers.",mostly-true,Not quite that high,2015-07-13,2019-04-23 16:47:01.463475
0,Randy Forbes,"""The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.""",half-true,Mixed evidence,2015-07-06,2019-04-23 16:47:01.465075
0,Bobby Scott,"""Income disparities in the United States are the worst since the 1920s.""",mostly-true,Can't dismiss the 1930s,2015-06-30,2019-04-23 16:47:01.466682
0,Don Beyer,"""More than half of women under 30 who give birth do so outside of marriage...""",true,No doubt,2015-06-22,2019-04-23 16:47:01.468281
0,Dave Brat,"""In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!""",mostly-true,A rosier scenario exists,2015-06-16,2019-04-23 16:47:01.469917
0,Mark Warner,"Millennials ""will be 75 percent of the workforce in the next 10 years.""",barely-true,They're not growing up that fast,2015-06-15,2019-04-23 16:47:01.636109
0,The Commonwealth Institute,"Says ""roughly two-thirds of (state) corporations didn’t pay any income tax in Virginia.""",mostly-true,Some of the corporations are dormant,2015-05-27,2019-04-23 16:47:01.637909
0,The Family Foundation,"""The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization.""",true,Lots of evidence,2015-05-26,2019-04-23 16:47:01.639521
0,Alex McMurtrie Jr.,"State legislators ""quietly shifted $2 billion from education to road building"" in 2013.",false,Thoroughly wrong,2015-05-18,2019-04-23 16:47:01.641120
0,Rob Wittman,"The 2005 round of military base closings ""has not yet resulted in savings.""",half-true,Depends how you define savings,2015-05-15,2019-04-23 16:47:01.642727
0,Mark Warner,"An audit shows ""there are 6.5 million people who have active Social Security numbers who are 112 years of age or older,""",true,Living dead,2015-05-11,2019-04-23 16:47:01.644321
0,Robert Hurt,"Says the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings.",false,Rural legend,2015-05-03,2019-04-23 16:47:01.645953
0,Tim Kaine,"""It’s estimated that 40 percent of all the guns that are sold in the United States occur with no background records check.""",barely-true,Data more than 20 years old ,2015-04-28,2019-04-23 16:47:01.647515
0,Joe Morrissey,"""Rosalyn Dance voted against President Obama’s Medicaid expansion.""",barely-true,Campaign distortion,2015-04-23,2019-04-23 16:47:01.649089
0,Mark Herring,"""By age 65, the average woman will have lost $431,000 throughout her working career was a result of the pay gap.""",mostly-true,Many reasons for gap,2015-04-20,2019-04-23 16:47:01.650815
0,Dave Brat,"Repealing Obamacare saves ""our nation more than $2 trillion.""",false,Creative accounting,2015-04-13,2019-04-23 16:47:01.652424
0,Susan Stimpson,"Virginia House Speaker Bill Howell is ""allied to group pushing MIXED SEX BATHROOMS in Stafford Schools.""",false,Pot shot,2015-04-06,2019-04-23 16:47:01.654035
0,Randy Forbes,"""Did you know that the U.S. is one of the very few nations in the world without an official language?""",true,Es verdad,2015-04-06,2019-04-23 16:47:01.655652
0,Dave Brat,"""Since President Obama took office in January 2009, the federal government has issued more than 468,500 pages of regulations.""",barely-true,A misreading claim,2015-03-30,2019-04-23 16:47:01.657334
0,Ken Plum,"""We've got 40 years of study now that show that, with a good preschool start, you're less likely to be on public dole, you're less likely to be in prison.""",mostly-true,But there's some debate,2015-03-23,2019-04-23 16:47:01.659316
0,Don Beyer,"""More than 7,000 Americans lost their lives to climate change-fueled events last year.""",false,Beyer beware,2015-03-23,2019-04-23 16:47:01.661122
0,Rick Perry,"""Thomas Paine wrote that ‘the duty of a patriot is to protect his country from his government.’""",false,Ever hear of Edward Abbey?,2015-03-09,2019-04-23 16:47:01.662769
0,John Fredericks,"Every illegal immigrant ""can be eligible for up to $36,000 to $38,000 in earned income tax credits without paying a dime in.""",false,Wrong on a number of fronts,2015-03-09,2019-04-23 16:47:01.664442
0,Rick Perry,"""America produces more oil and gas than any other nation in the world.""",true,Data backs him up,2015-03-02,2019-04-23 16:47:01.666001
0,Dave Brat,"""...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.""",mostly-true,"Right on testing, off on spending",2015-03-02,2019-04-23 16:47:01.667573
0,Joseph Yost,"""One third of our age group (Millennials) have moved back in with their parents.""",mostly-true,But it's not unique,2015-02-23,2019-04-23 16:47:01.832645
0,Scott Surovell,"""When did the decline of coal start? It started when natural gas took off … that started to begin in (President George W.) Bush’s administration.""",half-true,Trends began before Bush II,2015-02-23,2019-04-23 16:47:01.834468
0,Lori Haas,"In states that have private-sale background checks for handguns ""49 percent fewer women are shot and killed.""",half-true,Cause and effect not certain,2015-02-16,2019-04-23 16:47:01.836242
0,Don Beyer,"""If you look at the income of average Americans...they’re absolutely flat in constant dollars since 1979.""",mostly-true,Results vary with definitions of income,2015-02-09,2019-04-23 16:47:01.837868
0,Alfonso Lopez,"Ronald Reagan ""banned ownership of fully automatic rifles. He supported the assault weaspons ban.""",half-true,Hit and miss,2015-02-04,2019-04-23 16:47:01.839489
0,Barbara Comstock,"""Did you know under President Obama family health care premiums have increased $4,154 on the average?""",barely-true,Dubious math,2015-02-02,2019-04-23 16:47:01.841103
0,Virginia House Democratic Caucus,"Assault weapons and handguns are allowed in the state Capitol while bullhorns, trumpets, helium balloons and flags on poles are banned.",mostly-true,"Have concealed gun permit, will travel",2015-01-26,2019-04-23 16:47:01.842677
0,Alfonso Lopez,"On assault weapon violence: ""Ducks have more protection than people in Virginia.""",pants-fire,The duck stops here,2015-01-26,2019-04-23 16:47:01.844249
0,Bobby Scott,"President Barack Obama’s policies ""have resulted in gas prices being reduced from $3.07 per gallon when he was sworn in in 2009 to $2.30 today.""",false,Running on empty,2015-01-18,2019-04-23 16:47:01.845816
0,Virginia Education Association,"State ""school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.""",true,An 'A' for accuracy ,2015-01-12,2019-04-23 16:47:01.847430
0,Bobby Scott,"""After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.""",true,But not solely for waterboarding,2015-01-12,2019-04-23 16:47:01.848991
0,Mark Warner,"Regarding sexual assault against women, ""It’s actually safer not to be in college than it is to be in college.""",barely-true,"Cites old, incomplete research",2015-01-04,2019-04-23 16:47:01.850556
0,Jim Moran,"Graduation rates of players at major football colleges ""are still twenty points below their male campus peers and worsened in the past three years.""",half-true,"Low rates, but not getting worse",2014-12-30,2019-04-23 16:47:01.852251
0,Bob Goodlatte,"""The President has decided to move forward with executive actions on immigration that he has said on numerous occasions that he didn’t have the constitutional power to take.""",true,No doubt ,2014-12-29,2019-04-23 16:47:01.853858
0,Jim Moran,"Only 20 colleges and universities ""have athletic departments with revenue exceeding expenses.""",true,Slam dunk,2014-12-22,2019-04-23 16:47:01.855466
0,Jim Moran,"""We have a system now where in 40 states, the highest-paid public employee is the state university’s head football or basketball coach.""",mostly-true,But little of their pay comes from taxpayers,2014-12-22,2019-04-23 16:47:01.857062
0,Jim Webb,"The U.S. has ""5 percent of the world’s population, 25 percent of the world’s known prison population.""",true,U.S. likes its prisons,2014-12-15,2019-04-23 16:47:01.858759
0,Susan Stimpson,"""Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.""",mostly-true,A little complexity to Howell's actions,2014-12-15,2019-04-23 16:47:01.860542
0,Richard Saslaw,"Female students at UVA ""have a 20 percent chance of being sexually assaulted.""",barely-true,No concrete evidence,2014-12-08,2019-04-23 16:47:01.862835
0,Jim Webb,"The poorest counties in the U.S. are in Appalachia and ""happen to be more than 90 percent white.""",half-true,Depends on the measure,2014-12-01,2019-04-23 16:47:01.864445
0,Tim Kaine,"""Every president since Eisenhower has taken executive action to address immigration issues.""",mostly-true,But Obama's action is more sweeping,2014-11-30,2019-04-23 16:47:02.041662
0,Kathleen Murphy,"""The NRA supported background checks...""",mostly-true,Many caveats to NRA's support,2014-11-24,2019-04-23 16:47:02.043475
0,David Hallock,"In rural Virginia, ""Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.""",false,A rural myth,2014-11-21,2019-04-23 16:47:02.045224
0,Dave Brat,"""I’ll be the only economist in the (U.S.) House.""",true,Doctor in the House,2014-11-09,2019-04-23 16:47:02.046839
0,Jack Trammell,"Dave Brat said ""the best way to fix Social Security would be to give seniors back what they paid in and no more.""",barely-true,Brat never said this,2014-11-02,2019-04-23 16:47:02.048451
0,Dave Brat,"""In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.""",false,U.S. scores aren't that bad,2014-11-02,2019-04-23 16:47:02.050011
0,James Carr,"""Before World War II, very few people actually had health insurance.""",true,Insurance was rare prior to 1940s,2014-10-30,2019-04-23 16:47:02.051801
0,Rand Paul,"""$2.4 million of the NIH dollars was spent on ‘origami’ condoms.""",mostly-true,But not your traditional origami,2014-10-27,2019-04-23 16:47:02.053424
0,Mark Warner,"Ed Gillespie’s ""firm even lobbied for five foreign governments, including a dictator now awaiting trial for war crimes.""",half-true,Important context missing,2014-10-24,2019-04-23 16:47:02.055048
0,Jim Webb,"In 1968 ""the average corporate CEO made 20 times the average worker’s pay. Today that multiple is about 350.""",mostly-true,Different studies reach different results,2014-10-19,2019-04-23 16:47:02.056651
0,Mark Warner,Says PolitiFact has ruled that Ed Gillespie’s ads are false and misleading.,half-true,Puts words in our mouth,2014-10-13,2019-04-23 16:47:02.058260
0,National Rifle Association,"Says Mark Warner ""has supported restrictions on veterans’ second amendment rights.""",mostly-true,The VA has a say with vets,2014-10-06,2019-04-23 16:47:02.059859
0,Democratic Party of Virginia,"""Hospitals have already begun layoffs, a direct result of Republican inaction"" on Medicaid expansion.",half-true,Many reasons for layoffs,2014-10-06,2019-04-23 16:47:02.061495
0,Mark Warner,On opposing legislation that would take away existing health care plans.,half-flip,Some swaying here,2014-09-29,2019-04-23 16:47:02.063194
0,Ed Gillespie,"Says Mark Warner told PolitiFact National's ""Lie of the Year"" in 2013.",false,A lie about lies,2014-09-28,2019-04-23 16:47:02.064802
0,Bob Goodlatte,"The U.S. Constitution is ""the oldest written constitution still in use today"" among nations.",true,"Some quibble, we don't",2014-09-22,2019-04-23 16:47:02.066466
0,Robert Sarvis,"""Over 40 of our 100 (House of) Delegates seats go uncontested every year, and over 40 percent of our state senate seats go uncontested every year.""",mostly-true,"Not every election, but close",2014-09-14,2019-04-23 16:47:02.068024
0,Mark Obenshain,"Virginia Democrats recently enforced voter ID rules that were ""considerably more stringent than those contained in the state law they denounce.""",half-true,Some rules were stricter; some more lenient,2014-09-09,2019-04-23 16:47:02.069589
0,Ed Gillespie,"Obamacare ""cuts seniors’ Medicare.""",barely-true,Medicare spending will go up,2014-09-08,2019-04-23 16:47:02.071155
0,Tim Kaine,"Pinnacle Overlook in Southwest Virginia is ""closer to eight other state capitals than to Richmond.""",mostly-true,There's nine; can you name them?,2014-09-01,2019-04-23 16:47:02.072715
0,Don Beyer,"""The United States is the only industrialized country that does not guarantee paid time off to care for a new child.""",mostly-true,American exceptionalism,2014-08-25,2019-04-23 16:47:02.255491
0,Mark Warner,On offshore drilling for energy,no-flip,Insists on royalties for states,2014-08-18,2019-04-23 16:47:02.257305
0,Mike Hymes,"Del. Ben Chafin ""took money away"" from Southwest Virginia schools while voting to build a ""politician's palace.""",false,A misplaced comparison,2014-08-11,2019-04-23 16:47:02.258937
0,George Barker,"Uncompensated care has ""gone down by 30 percent just in the first few months"" of Medicaid expansion in the states that adopted it.",true,Recent surveys agree,2014-08-10,2019-04-23 16:47:02.260549
0,Mark Warner,"Ed Gillespie ""supports a personhood amendment.""",false,Proof falls short,2014-08-04,2019-04-23 16:47:02.262225
0,Ed Gillespie,"""This administration is slashing the Navy to pay for more Obamacare.""",pants-fire,No connection,2014-08-03,2019-04-23 16:47:02.263951
0,Richard Saslaw,"Governing magazine has ""estimated that in the states that don’t expand Medicaid, a minimum, they said of 40 percent of rural hospitals will close in those states...""",false,A misreading,2014-07-25,2019-04-23 16:47:02.265693
0,Ed Gillespie,On immigration reform,no-flip,"Wants strong border, more visas",2014-07-21,2019-04-23 16:47:02.267303
0,Barbara Comstock,"Obamacare ""already has caused millions of hardworking Virginians to lose their health insurance.""",false,Wrong and retracted,2014-07-20,2019-04-23 16:47:02.268989
0,Mark Sickles,Says 70 percent of Virginia’s Medicaid cost is for seniors in nursing homes.,false,Try less than 10 percent,2014-07-14,2019-04-23 16:47:02.270562
0,Kirk Cox,"""There are more than 46 million Americans living in poverty today -- the largest number in 54 years.""",mostly-true,"The poverty rate, however, has decreased ",2014-07-11,2019-04-23 16:47:02.272133
0,Ed Gillespie,"Says Mark Warner has supported Harry Reid ""down the line.""",half-true,"They usually agree, but not always",2014-07-06,2019-04-23 16:47:02.273762
0,Mark Warner,On a balanced budget amendment.,full-flop,Reversed 1996 position,2014-06-30,2019-04-23 16:47:02.275334
0,Dave Marsden,"After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives.""",mostly-true,Cause and effect not definite,2014-06-27,2019-04-23 16:47:02.276905
0,Ed Gillespie,"Mark Warner’s ""record is one of acting against"" the Keystone XL pipeline.",barely-true,Warner's ususally been in Keystone's corner,2014-06-23,2019-04-23 16:47:02.278652
0,Chain email,"Sens. Mark Warner and Tim Kaine voted ""to let the U.N. take OUR guns.""",pants-fire,Wild shot,2014-06-15,2019-04-23 16:47:02.280273
0,Mark Warner,"""Right now, America has $1.1 trillion of student debt. That’s more than credit card debt.""",true,Much more than credit card debt,2014-06-10,2019-04-23 16:47:02.281873
0,Ed Gillespie,"The Chamber of Commerce says new carbon regulations will kill ""244,000 jobs a year"" and cost average families ""$1,200 a year.""",false,Blowing smoke,2014-06-09,2019-04-23 16:47:02.283491
0,Laura Ingraham,"U.S. Reps. Eric Cantor and Luis Gutierrez were ""touring the country last year … joined at the hip, working together in a bipartisan fashion indeed for the goal of immigration reform.""",pants-fire,Tour de farce,2014-06-06,2019-04-23 16:47:02.285270
0,Dave Brat,"Eric Cantor ""voted to fully fund Obamacare in October.""",barely-true,Lots missing from this claim,2014-06-02,2019-04-23 16:47:02.286893
0,Eric Cantor,"Says a ""liberal"" immigration reform group endorsed his GOP primary opponent, Dave Brat.",false,Never happened,2014-05-30,2019-04-23 16:47:02.443405
0,Democratic Party of Virginia,"In 2007, Ed Gillespie ""was paid $300,000 to be the frontman for a coalition that made the individual mandate the centerpiece of its health reform plan.""",barely-true,Exaggerations galore,2014-05-23,2019-04-23 16:47:02.445295
0,Campaign for Liberty,"""Estimates for adopting Obamacare’s Medicaid expansion show it will cost Virginia taxpayers $902 million through 2022.""",barely-true,Ignores current estimate showing savings,2014-05-19,2019-04-23 16:47:02.446926
0,Republican Party of Virginia,"""Ninety-seven percent of the time. That’s how often Mark Warner votes with President Obama.""",true,Near par for Senate Democrats ,2014-05-15,2019-04-23 16:47:02.448534
0,Thomas Garrett Jr.,"""Last year the (Medicaid Fraud Control Unit) in Virginia alone recovered over $200 million!""",barely-true,A tiny fraction of the fraud occurred in Virginia,2014-05-11,2019-04-23 16:47:02.450159
0,Democratic Party of Virginia,Says Virginia House Republicans are sacrificing $5 million a day in U.S. funds by refusing to expand Medicaid.,mostly-true,Not quite that much,2014-05-05,2019-04-23 16:47:02.451779
0,Eric Cantor,"Dave Brat ""worked on Democrat Gov. Tim Kaine’s Council of Economic Advisors while Kaine tried to raise our taxes by over $1 billion.""",mostly-true,Council did not advise on tax policies,2014-04-28,2019-04-23 16:47:02.453392
0,Democratic Party of Virginia,"Ed Gillespie’s 2006 book ""promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.""",mostly-true,Reasonable interpretation of hazy prose ,2014-04-27,2019-04-23 16:47:02.455011
0,Robert Sarvis,"""Did you know US population growth is at its lowest since the Great Depression?""",true,We know that now,2014-04-21,2019-04-23 16:47:02.456622
0,Morgan Griffith,"""From 1972 until 2011, the number of EPA employees increased by 107 percent while the number of total federal personnel decreased by 15 percent.""",true,Not blowing smoke,2014-04-14,2019-04-23 16:47:02.458234
0,Thomas Garrett Jr.,"Federal money for Medicaid expansion ""is guaranteed for a few years and then goes away.""",barely-true,"Under law, U.S. never pays less than 90 percent ",2014-04-13,2019-04-23 16:47:02.459842
0,Terry McAuliffe,"Says the Medicaid fraud rate in Virginia was ""fact-checked"" and found to be ""0.47 percent.""",false,Wrong on both counts,2014-04-08,2019-04-23 16:47:02.461453
0,Republican Party of Virginia,"Gov. McAuliffe's budget would ""raid school, other $$ 4 Obamacare in VA.""",barely-true,GOP sizzle fizzles,2014-04-06,2019-04-23 16:47:02.463070
0,Terry McAuliffe,"If the legislature refuses to expand Medicaid, ""27 states are going to get our money – Virginia taxpayer money – into their states to provide health care for their citizens, paid for by us.""",barely-true,Microscopic cause and effect ,2014-03-31,2019-04-23 16:47:02.464691
0,Terry McAuliffe,"State Medicaid expansion ""will save our treasury $1 billion over the next eight years.""",half-true,More like $601 million,2014-03-30,2019-04-23 16:47:02.466352
0,Jimmie Massie,"In Virginia’s Medicaid program, ""approximately 30 percent, or $2.7 billion a year, is lost to waste, fraud and inefficiencies.""",barely-true,"Hypothesis, not fact",2014-03-23,2019-04-23 16:47:02.468206
0,Barbara Comstock,"Says five Democratic state senators were for her bicycle tailgating bill ""before they were against it.""",true,Pedaling the truth,2014-03-10,2019-04-23 16:47:02.469833
0,Dwight Jones,"The Redskins Training Camp deal ""generated $40 million in new private investment in the city.""",half-true,Counting checks before they're signed,2014-03-04,2019-04-23 16:47:02.471530
0,Virginia Interfaith Center for Public Policy,"""In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line. Today, that same worker would earn less than the poverty line for a family of two.""",mostly-true,Wage's buying power lower than 1968,2014-03-03,2019-04-23 16:47:02.473161
0,Mark Obenshain,"""There are 4.7 percent of Virginians who are minimum wage earners who are over 25 years of age working full-time and trying to raise a family.""",mostly-true,Credible conclusion despite wrong stats,2014-02-24,2019-04-23 16:47:02.474773
0,Terry McAuliffe,"""Seventy percent of all uninsured live in households in which at least one person is working.""",true,Nailed it,2014-02-17,2019-04-23 16:47:02.684705
0,Dwight Jones,"Richmond is ""the most vegan-friendly city.""",false,No meat here,2014-02-14,2019-04-23 16:47:02.686523
0,Ed Gillespie,"Mark Warner voted for ""nearly $1 trillion in new taxes and $7 trillion in new debt.""",true,On Mark,2014-02-10,2019-04-23 16:47:02.688134
0,Eric Cantor,"""The CBO’s latest report confirms what Republicans have been saying for years now. Under Obamacare, millions of hardworking Americans will lose their jobs.""",barely-true,Report doesn't predict layoffs,2014-02-07,2019-04-23 16:47:02.689734
0,Scott Surovell,"""Eighty-five percent of the states in the United States that had electrocution have now abolished it.""",mostly-true,Slightly off,2014-02-03,2019-04-23 16:47:02.691343
0,Terry McAuliffe,"Virginia is ""the No. 1 recipient of federal dollars.""",barely-true,"All things counted, no",2014-01-31,2019-04-23 16:47:02.692943
0,Virginia Senate Democratic Caucus,On sharing power with Republicans,full-flop,The lieutenant governor rules,2014-01-29,2019-04-23 16:47:02.694797
0,Ed Gillespie,"""Obamacare passed by just one vote in the Senate. It wouldn’t have passed without Mark Warner’s vote.""",mostly-true,Improved effort in making old charge,2014-01-27,2019-04-23 16:47:02.696490
0,Mark Warner,"""The largest enterprise in the world is the federal government of the United States of America""",half-true,Don't forget China's government,2014-01-24,2019-04-23 16:47:02.698052
0,William Howell,"In Virginia, ""Medicaid has grown by 1,600 percent in the last 30 years.""",true,On the money,2014-01-20,2019-04-23 16:47:02.699621
